group,sample,min_LLR,n_seeds,n_called,reproducibly_silent,n_clones_min,n_clones_max,frac_aneuploid_min,frac_aneuploid_max,seed_ari
healthy,HD_BM_1,3.0,3,0,True,0,0,0.0,0.0,
healthy,HD_BM_2,3.0,3,0,True,0,0,0.0,0.0,
healthy,HD_BM_3,3.0,3,0,True,0,0,0.0,0.0,
healthy,HD_BM_4,3.0,3,0,True,0,0,0.0,0.0,
healthy,PBMMC_1,3.0,3,0,True,0,0,0.0,0.0,
healthy,PBMMC_2,3.0,3,3,False,4,5,0.096,0.181,0.468
healthy,PBMMC_2,5.0,3,3,False,3,4,0.307,0.337,0.519
healthy,PBMMC_2,10.0,3,0,True,0,0,0.0,0.0,
healthy,PBMMC_3,3.0,3,3,False,3,3,0.189,0.189,1.0
healthy,PBMMC_3,5.0,3,3,False,2,2,0.494,0.494,1.0
healthy,PBMMC_3,10.0,3,3,False,2,2,0.494,0.494,1.0
healthy,PBM_1,3.0,3,0,True,0,0,0.0,0.0,
healthy,PBM_2,3.0,3,3,False,2,2,0.195,0.195,1.0
healthy,PBM_2,5.0,3,0,True,0,0,0.0,0.0,
healthy,PBM_2,10.0,3,0,True,0,0,0.0,0.0,
tumour,Patient_1,3.0,3,3,False,4,4,0.371,0.371,1.0
tumour,Patient_1,5.0,3,3,False,4,4,0.551,0.551,1.0
tumour,Patient_1,10.0,3,3,False,3,3,0.307,0.307,1.0
tumour,Patient_2,3.0,3,3,False,2,2,0.374,0.374,1.0
tumour,Patient_2,5.0,3,3,False,2,2,0.372,0.372,1.0
tumour,Patient_2,10.0,3,0,True,0,0,0.0,0.0,
